index,origin,loss,layer,multiplier
7,openwebtext-256-512,5.700253963470459,5,0
7,openwebtext-256-512,5.700253963470459,6,0
7,openwebtext-256-512,5.700253963470459,7,0
7,openwebtext-256-512,5.700253963470459,8,0
7,openwebtext-256-512,5.700253963470459,9,0
8,openwebtext-256-512,5.795200347900391,0,0
8,openwebtext-256-512,5.795200347900391,1,0
8,openwebtext-256-512,5.795200347900391,10,0
8,openwebtext-256-512,5.795200347900391,11,0
8,openwebtext-256-512,5.795200347900391,2,0
8,openwebtext-256-512,5.795200347900391,3,0
8,openwebtext-256-512,5.795200347900391,4,0
8,openwebtext-256-512,5.795200347900391,5,0
8,openwebtext-256-512,5.795200347900391,6,0
8,openwebtext-256-512,5.795200347900391,7,0
8,openwebtext-256-512,5.795200347900391,8,0
8,openwebtext-256-512,5.795200347900391,9,0
9,openwebtext-256-512,4.956479549407959,0,0
9,openwebtext-256-512,4.956479549407959,1,0
9,openwebtext-256-512,4.956479549407959,10,0
9,openwebtext-256-512,4.956479549407959,11,0
9,openwebtext-256-512,4.956479549407959,2,0
9,openwebtext-256-512,4.956479549407959,3,0
9,openwebtext-256-512,4.956479549407959,4,0
9,openwebtext-256-512,4.956479549407959,5,0
9,openwebtext-256-512,4.956479549407959,6,0
9,openwebtext-256-512,4.956479549407959,7,0
9,openwebtext-256-512,4.956479549407959,8,0
9,openwebtext-256-512,4.956479549407959,9,0
10,openwebtext-256-512,NaN,0,0
10,openwebtext-256-512,NaN,1,0
10,openwebtext-256-512,NaN,10,0
10,openwebtext-256-512,NaN,11,0
10,openwebtext-256-512,NaN,2,0
10,openwebtext-256-512,NaN,3,0
10,openwebtext-256-512,NaN,4,0
10,openwebtext-256-512,NaN,5,0
10,openwebtext-256-512,NaN,6,0
10,openwebtext-256-512,NaN,7,0
10,openwebtext-256-512,NaN,8,0
10,openwebtext-256-512,NaN,9,0
11,openwebtext-256-512,NaN,0,0
11,openwebtext-256-512,NaN,1,0
11,openwebtext-256-512,NaN,10,0
11,openwebtext-256-512,NaN,11,0
11,openwebtext-256-512,NaN,2,0
11,openwebtext-256-512,NaN,3,0
11,openwebtext-256-512,NaN,4,0
11,openwebtext-256-512,NaN,5,0
11,openwebtext-256-512,NaN,6,0
11,openwebtext-256-512,NaN,7,0
11,openwebtext-256-512,NaN,8,0
11,openwebtext-256-512,NaN,9,0
12,openwebtext-256-512,7.1092915534973145,0,0
12,openwebtext-256-512,7.1092915534973145,1,0
12,openwebtext-256-512,7.1092915534973145,10,0
12,openwebtext-256-512,7.1092915534973145,11,0
12,openwebtext-256-512,7.1092915534973145,2,0
12,openwebtext-256-512,7.1092915534973145,3,0
12,openwebtext-256-512,7.1092915534973145,4,0
12,openwebtext-256-512,7.1092915534973145,5,0
12,openwebtext-256-512,7.1092915534973145,6,0
12,openwebtext-256-512,7.1092915534973145,7,0
12,openwebtext-256-512,7.1092915534973145,8,0
12,openwebtext-256-512,7.1092915534973145,9,0
13,openwebtext-256-512,7.546335697174072,0,0
13,openwebtext-256-512,7.546335697174072,1,0
13,openwebtext-256-512,7.546335697174072,10,0
13,openwebtext-256-512,7.546335697174072,11,0
13,openwebtext-256-512,7.546335697174072,2,0
13,openwebtext-256-512,7.546335697174072,3,0
13,openwebtext-256-512,7.546335697174072,4,0
13,openwebtext-256-512,7.546335697174072,5,0
13,openwebtext-256-512,7.546335697174072,6,0
13,openwebtext-256-512,7.546335697174072,7,0
13,openwebtext-256-512,7.546335697174072,8,0
13,openwebtext-256-512,7.546335697174072,9,0
14,openwebtext-256-512,NaN,0,0
14,openwebtext-256-512,NaN,1,0
14,openwebtext-256-512,NaN,10,0
14,openwebtext-256-512,NaN,11,0
14,openwebtext-256-512,NaN,2,0
14,openwebtext-256-512,NaN,3,0
14,openwebtext-256-512,NaN,4,0
14,openwebtext-256-512,NaN,5,0
14,openwebtext-256-512,NaN,6,0
14,openwebtext-256-512,NaN,7,0
14,openwebtext-256-512,NaN,8,0
14,openwebtext-256-512,NaN,9,0
15,openwebtext-256-512,4.135851860046387,0,0
15,openwebtext-256-512,4.135851860046387,1,0
15,openwebtext-256-512,4.135851860046387,10,0
15,openwebtext-256-512,4.135851860046387,11,0
15,openwebtext-256-512,4.135851860046387,2,0
15,openwebtext-256-512,4.135851860046387,3,0
15,openwebtext-256-512,4.135851860046387,4,0
15,openwebtext-256-512,4.135851860046387,5,0
15,openwebtext-256-512,4.135851860046387,6,0
15,openwebtext-256-512,4.135851860046387,7,0
15,openwebtext-256-512,4.135851860046387,8,0
15,openwebtext-256-512,4.135851860046387,9,0
0,openwebtext-256-512,5.104432582855225,0,-40
1,openwebtext-256-512,5.182912349700928,0,-40
2,openwebtext-256-512,3.4563424587249756,0,-40
3,openwebtext-256-512,6.286227703094482,0,-40
4,openwebtext-256-512,8.313152313232422,0,-40
5,openwebtext-256-512,7.478300094604492,0,-40
6,openwebtext-256-512,10.230406761169434,0,-40
