layer,multiplier,index,origin,loss
8,-0.5,17,openwebtext-128-64,3.333865165710449
8,-0.2,17,openwebtext-128-64,3.2323367595672607
8,-0.15,17,openwebtext-128-64,3.208719253540039
8,-0.1,17,openwebtext-128-64,3.167085647583008
8,-0.05,17,openwebtext-128-64,3.0967342853546143
8,0.05,17,openwebtext-128-64,3.0144104957580566
8,0.1,17,openwebtext-128-64,3.101649522781372
8,0.15,17,openwebtext-128-64,3.4587268829345703
8,0.2,17,openwebtext-128-64,3.9251677989959717
8,0.5,17,openwebtext-128-64,7.250197887420654
8,1.0,17,openwebtext-128-64,11.57712173461914
0,0.0,18,openwebtext-128-64,4.012058734893799
1,0.0,18,openwebtext-128-64,4.012058734893799
2,0.0,18,openwebtext-128-64,4.012058734893799
3,0.0,18,openwebtext-128-64,4.012058734893799
4,0.0,18,openwebtext-128-64,4.012058734893799
5,0.0,18,openwebtext-128-64,4.012058734893799
6,0.0,18,openwebtext-128-64,4.012058734893799
7,0.0,18,openwebtext-128-64,4.012058734893799
8,0.0,18,openwebtext-128-64,4.012058734893799
9,0.0,18,openwebtext-128-64,4.012058734893799
10,0.0,18,openwebtext-128-64,4.012058734893799
11,0.0,18,openwebtext-128-64,4.012058734893799
8,-1.0,18,openwebtext-128-64,4.305329322814941
8,-0.5,18,openwebtext-128-64,4.152859210968018
8,-0.2,18,openwebtext-128-64,4.073197841644287
8,-0.15,18,openwebtext-128-64,4.062726974487305
8,-0.1,18,openwebtext-128-64,4.046352863311768
8,-0.05,18,openwebtext-128-64,4.019262790679932
8,0.05,18,openwebtext-128-64,4.097944259643555
8,0.1,18,openwebtext-128-64,4.429365158081055
8,0.15,18,openwebtext-128-64,5.095146656036377
8,0.2,18,openwebtext-128-64,5.716073989868164
8,0.5,18,openwebtext-128-64,12.648213386535645
8,1.0,18,openwebtext-128-64,20.002891540527344
0,0.0,19,openwebtext-128-64,3.6691157817840576
1,0.0,19,openwebtext-128-64,3.6691157817840576
2,0.0,19,openwebtext-128-64,3.6691157817840576
3,0.0,19,openwebtext-128-64,3.6691157817840576
4,0.0,19,openwebtext-128-64,3.6691157817840576
5,0.0,19,openwebtext-128-64,3.6691157817840576
6,0.0,19,openwebtext-128-64,3.6691157817840576
7,0.0,19,openwebtext-128-64,3.6691157817840576
8,0.0,19,openwebtext-128-64,3.6691157817840576
9,0.0,19,openwebtext-128-64,3.6691157817840576
10,0.0,19,openwebtext-128-64,3.6691157817840576
11,0.0,19,openwebtext-128-64,3.6691157817840576
8,-1.0,19,openwebtext-128-64,4.34756326675415
8,-0.5,19,openwebtext-128-64,4.140069484710693
8,-0.2,19,openwebtext-128-64,3.97465443611145
8,-0.15,19,openwebtext-128-64,3.931375741958618
8,-0.1,19,openwebtext-128-64,3.8603460788726807
8,-0.05,19,openwebtext-128-64,3.750340700149536
8,0.05,19,openwebtext-128-64,3.697429656982422
8,0.1,19,openwebtext-128-64,3.8779001235961914
8,0.15,19,openwebtext-128-64,4.308648109436035
8,0.2,19,openwebtext-128-64,4.903055667877197
8,0.5,19,openwebtext-128-64,9.178990364074707
8,1.0,19,openwebtext-128-64,15.662199020385742
0,0.0,20,openwebtext-128-64,2.7555766105651855
1,0.0,20,openwebtext-128-64,2.7555766105651855
2,0.0,20,openwebtext-128-64,2.7555766105651855
3,0.0,20,openwebtext-128-64,2.7555766105651855
4,0.0,20,openwebtext-128-64,2.7555766105651855
5,0.0,20,openwebtext-128-64,2.7555766105651855
6,0.0,20,openwebtext-128-64,2.7555766105651855
7,0.0,20,openwebtext-128-64,2.7555766105651855
8,0.0,20,openwebtext-128-64,2.7555766105651855
9,0.0,20,openwebtext-128-64,2.7555766105651855
10,0.0,20,openwebtext-128-64,2.7555766105651855
11,0.0,20,openwebtext-128-64,2.7555766105651855
8,-1.0,20,openwebtext-128-64,3.190354824066162
8,-0.5,20,openwebtext-128-64,3.058223247528076
8,-0.2,20,openwebtext-128-64,2.9516401290893555
8,-0.15,20,openwebtext-128-64,2.9194657802581787
8,-0.1,20,openwebtext-128-64,2.8687093257904053
8,-0.05,20,openwebtext-128-64,2.7966291904449463
8,0.05,20,openwebtext-128-64,2.8177974224090576
8,0.1,20,openwebtext-128-64,3.104660987854004
8,0.15,20,openwebtext-128-64,3.6207361221313477
8,0.2,20,openwebtext-128-64,4.219526767730713
